file,key_a,key_b,folder_a_value,folder_b_value,result
000bc15ae0732b352a6a8b7de4400ec61b1055eb76deda6e137f208859022dc0.json,values.ovr,results.ovr,11.111,11.111,MATCH
00224a61dacfa01c0d0d8a6b95a644e29f3dbcd66a5f6a4e722c057387ab6f62.json,values.ovr,results.ovr,27.0,27.0,MATCH
003092bd177fcfb3b53e985df0ea47017ad20fd140e80c86f674e5a1749c86ac.json,values.ovr,results.ovr,27.333,27.333,MATCH
0036d14782b8e859ffeee86919818f7cfab3db10cfc7905986af1765be1234cd.json,values.ovr,results.ovr,97.667,97.667,MATCH
0039a9e43e7b17f00aa7bb279920e34f067e5aa18a9bf05f76c1ba71d13d8b87.json,values.ovr,results.ovr,27.333,27.333,MATCH
003b428e0822dd1e53d632d918562e049ab2440e501ccef6043d17fcf253769c.json,values.ovr,results.ovr,11.662,11.662,MATCH
003d49f544c21fdb3c93975e2e1f4ee1692165536a955d5e762e80478e586475.json,values.ovr,results.ovr,27.0,27.0,MATCH
0042519f3fa7a062617edcc011780c1fd1c5b848ce64fac1d444e4dda44814a2.json,values.ovr,results.ovr,27.333,27.333,MATCH
00473570c57abcc8fcd08870b8745b470e9ad495b7d71afece52f7be6badb42b.json,values.ovr,results.ovr,100.0,100.0,MATCH
004b4e96df944ae35afe76b6d397de660676c551a43027bd555189e63a067151.json,values.ovr,results.ovr,93.0,93.0,MATCH
00538ddf53f3a3554bd41b254d3caed46165a66459b5434fc5f29cda169be62b.json,values.ovr,results.ovr,27.0,27.0,MATCH
0060da5d4e09b55e5dede523e1a8281f9977e907c64deb4836227dd2c0392717.json,values.ovr,results.ovr,27.333,27.333,MATCH
00620b0d60cc7846ed6131c57a28cef89a8e241e1d9d6cbbb30f5ff1832583d2.json,values.ovr,results.ovr,100.0,100.0,MATCH
0064e1f7111c1f3a327b1b41060324422c0ecc4a298aba5b372907d1cd9dc4c8.json,values.ovr,results.ovr,27.0,27.0,MATCH
0071713b2262b50116be63cb6aed42b498643b4271b4a4032792d1303db8ea9a.json,values.ovr,results.ovr,27.0,27.0,MATCH
008535ac380e72cce7a849cff995244d2b14117f8b404ac0b2ae09edfbf2abcb.json,values.ovr,results.ovr,92.917,92.917,MATCH
00862abb08404c7b211f02370419a3231ee2d19af2d39db2e233e631fac3dcdf.json,values.ovr,results.ovr,18.0,18.0,MATCH
0086ea170caaf821ec9e1ca3940b269862a95b5b466a0230f7a04f49991607e8.json,values.ovr,results.ovr,95.172,95.172,MATCH
0088796fab9068a8f9490074f6b637689429eeffb48abfd67d7f1a6723d4c2a9.json,values.ovr,results.ovr,23.0,23.0,MATCH
008abc70e219edd3428df0a5cfbaf02720496aafd94e0b89f7afdab5a96cd706.json,values.ovr,results.ovr,13.817,13.817,MATCH
009546d0448ab334d267dae281a776f7e3a7d0fca9296d2f4edcf1b47c0f7cc2.json,values.ovr,results.ovr,27.333,27.333,MATCH
00955e035be09c11c44562b09017300225512e8a04a42cf9652c328158a28035.json,values.ovr,results.ovr,27.0,27.0,MATCH
009f78ef272d33b590143d01d14fbf45b6c0350734511467dbc9b317388f4fbd.json,values.ovr,results.ovr,13.143,13.143,MATCH
00a2cba321b80b10de91348dc1f32cc0427e94f1daec420f3bd1780cb940b536.json,values.ovr,results.ovr,27.333,27.333,MATCH
00a83b69898514810e0a6b234481d01616526cd965e0bd83a463f9ed4bb33c7d.json,values.ovr,results.ovr,100.0,100.0,MATCH
00a92c23977651a5787984f61a6fe74b4b5b0c5726e79211f9bb97a660ff9ec8.json,values.ovr,results.ovr,10.857,10.857,MATCH
00b3d542c51302530db0f310446b1496f3aaee5cfd9a71326db97ace05fa7ae0.json,values.ovr,results.ovr,93.0,93.0,MATCH
00b931fc24d600278556d1bcf14f6f38b1d9aa5365303161f4d27aa93a937102.json,values.ovr,results.ovr,70.0,70.0,MATCH
00c02398f857ec7ef976377bcd6cc2faba15943fc63d1e954fcded515a3f13ed.json,values.ovr,results.ovr,23.333,23.333,MATCH
00d472616461548e898a95e92b82d2cbd034cc2542c6b0f5ced6887968650d07.json,values.ovr,results.ovr,96.0,96.0,MATCH
00d5caddef94867a70c0f03e06b149e98c392e80afb742148724bb1b3f2da566.json,values.ovr,results.ovr,100.0,100.0,MATCH
00e852a4a247ce49c89d1e300f4ae7f0f4c3e1af6e0bf82851fe53af7e90e7aa.json,values.ovr,results.ovr,56.471,56.471,MATCH
00ef3ce8532f535bc21a00db3c482d9599e69df515bcae4ae895d1f787705fef.json,values.ovr,results.ovr,27.0,27.0,MATCH
00f1bc1b1b77f6e490c3f4d902746bcc9ff567b6816d68f0a6f1173339e613c8.json,values.ovr,results.ovr,27.333,27.333,MATCH
00f27746ef3073bd436d1d968283b7a2acc3fb605037898c08ee3b4e2101c3e6.json,values.ovr,results.ovr,65.0,65.0,MATCH
00f6a33d0cc231c3e7fc19e919066e0ee1dd02a5a8d7cc8f70b0e1060726547b.json,values.ovr,results.ovr,27.0,27.0,MATCH
0101bfb22fe9759019721e3e88ae2f359d7617f71db61b1f670c25bd1d5136fd.json,values.ovr,results.ovr,93.0,93.0,MATCH
01020066852a2ef3e788106622a7013fe85f6eb7db6349a0dd3f59667c614434.json,values.ovr,results.ovr,100.0,100.0,MATCH
010f71970b869959d03ad99674a654630544894d36bb68b88b1607fb12ae16c3.json,values.ovr,results.ovr,27.333,27.333,MATCH
01107c311042d0ea118e765abadcb3fb9337930faa6b630e736909d5989743fe.json,values.ovr,results.ovr,27.333,27.333,MATCH
0115dd3034102b9b0562c9851eceff3ddc047aa3975e6ee76e282723492c9bee.json,values.ovr,results.ovr,10.496,10.496,MATCH
011e083aced3acb1909184abb7e2866b44aacecf82c634ede96ca46e84c8205f.json,values.ovr,results.ovr,14.493,14.493,MATCH
0124e1f32773cd4350d303bf9d8ed9a2f6bf528feb767332c98abc4c58cb1428.json,values.ovr,results.ovr,10.857,10.857,MATCH
0129567dc2c00b649be8e1242242e35712292b507e2efde7c2defb39188775dd.json,values.ovr,results.ovr,27.0,27.0,MATCH
013c8039171bc622982fbd73bd8dcdb941f8916596c7fc600ee151a867d39f58.json,values.ovr,results.ovr,27.0,27.0,MATCH
013d9c2c7d219cc9c16976fd051cc6a4a281ecc9eea62525ef4a1605c6d85f80.json,values.ovr,results.ovr,13.241,13.241,MATCH
0164b72d715c0f44c3b994eff970c3f2d2901cab7b827e15b7a46001ed723f32.json,values.ovr,results.ovr,12.791,12.791,MATCH
0179e4b7e4fd0d9670d496953784abaccf88a719583ef81c084a48e9e96df467.json,values.ovr,results.ovr,27.0,27.0,MATCH
0183964c7e670b45214ff53aa29acf8748444295afac87897d616f86fa5145f8.json,values.ovr,results.ovr,13.241,13.241,MATCH
0186a23d3179fc2e7123d6dff885a3031b2407aa86e82fa7d224167af8279c17.json,values.ovr,results.ovr,27.0,27.0,MATCH
0189caf725d0f4e412b8765fc4bc46cf98758ff167f40df941fa56fa60fd03b0.json,values.ovr,results.ovr,27.333,27.333,MATCH
018bdfb679fd2ba06029c5b9722b1c47681328a3d7a23f5c03f0c60ff14572dc.json,values.ovr,results.ovr,100.0,100.0,MATCH
018c7f94feba36bab2fd247c7bab9a1a568ddc90a0b5d7c0e7d75762647b778b.json,values.ovr,results.ovr,27.333,27.333,MATCH
0199b573ebc719f47948a3e5133b3f1970d4ac8b4fc244080fa3f1b15832fbe0.json,values.ovr,results.ovr,41.667,41.667,MATCH
01b0fcd0d5c7977ed14b120ac62607e9359c5b33ac2bf63dce264132617e308e.json,values.ovr,results.ovr,59.763,59.763,MATCH
01b57cc973abfe91e0fae432b71cddcdbbce822e10896e3f42caa9291295267d.json,values.ovr,results.ovr,27.0,27.0,MATCH
01ba85508185b454030722974151e6d4c77aff57159d7296989dc465c7b51cd7.json,values.ovr,results.ovr,94.419,94.419,MATCH
01bed7babcf609ed8a2843c05353068e61112e254137ca119634673e89d04392.json,values.ovr,results.ovr,27.333,27.333,MATCH
01c4029e691375c7f82c22b44720f802e618f74d8b3e61ce8ca39a60a2c8303e.json,values.ovr,results.ovr,27.0,27.0,MATCH
